Name,Variant,Description,Generally Available,Status,Gross Annual Price,Platform Support Services %,Professional Services %,Software Resale %,Cloud Consumption %,PSS %,User Count
"MCP Server",Small,"Supports single MCP server","April",Live,40900,0%,43%,0%,20%,37%,"Supports single MCP server"
"MCP Server",Medium,"Supports single MCP server","April",Live,62700,35%,28%,0%,13%,24%,"Supports 2-5 MCP Servers"
"MCP Server",Large,"Supports single MCP server","April",Live,80900,49%,22%,0%,10%,19%,"Supports 6-10 MCP Servers"
"AI Gateway",Small,"Foundation Features","May",Live,28000,0%,36%,0%,0%,64%,"Foundation Features"
"AI Gateway",Medium,"Foundation Features","May",Live,40000,0%,25%,0%,0%,75%,"Professional Features"
"AI Gateway",Large,"Foundation Features","May",Live,70000,0%,14%,0%,0%,86%,"Enterprise Features"
"MCP Hub",Small,"","July",Live,0,0%,0%,0%,0%,0%,"N/A - there is no small"
"MCP Hub",Medium,"","July",Live,40000,0%,25%,0%,0%,75%,"6-10 MCP Servers + Pro features (Requires MCP Server (M))"
"MCP Hub",Large,"","July",Live,70000,0%,14%,0%,0%,86%,"10+ MCP Servers + Enterprise Features (Requires MCP Server (L))"
"AI Insights",Small,"This is part of the AI Gateway","May",Live,0,0%,0%,0%,0%,0%,"This is part of the AI Gateway"
"AI Insights",Medium,"This is part of the AI Gateway","May",Live,0,0%,0%,0%,0%,0%,"This is part of the AI Gateway"
"AI Insights",Large,"This is part of the AI Gateway","May",Live,0,0%,0%,0%,0%,0%,"This is part of the AI Gateway"
"Managed Plane",Small,"<100 users","March",Live,63000,0%,24%,0%,28%,48%,"<100 users"
"Managed Plane",Medium,"<100 users","March",Live,87000,0%,17%,0%,35%,48%,"100-500 users"
"Managed Plane",Large,"<100 users","March",Live,111000,0%,14%,0%,38%,48%,"500-1000 users"
"AI Services (PS)",Small,"PS Packages","January",Live,10000,0%,100%,0%,0%,0%,"PS Packages"
"AI Services (PS)",Medium,"PS Packages","January",Live,25000,0%,100%,0%,0%,0%,"PS Packages"
"AI Services (PS)",Large,"PS Packages","January",Live,50000,0%,100%,0%,0%,0%,"PS Packages"
"Developer Portal",Small,"","May",Live,0,0%,0%,0%,0%,0%,""
"Developer Portal",Medium,"","May",Live,0,0%,0%,0%,0%,0%,""
"Developer Portal",Large,"","May",Live,0,0%,0%,0%,0%,0%,""
"Fast Shift Migration",Small,"Up to X1 Workspaces and X2 Users","May",Live,25000,0%,100%,0%,0%,0%,"Up to X1 Workspaces and X2 Users"
"Fast Shift Migration",Medium,"Up to X1 Workspaces and X2 Users","May",Live,50000,0%,100%,0%,0%,0%,"Up to Y1 Workspaces and Y1 Users"
"Fast Shift Migration",Large,"Up to X1 Workspaces and X2 Users","May",Live,100000,0%,100%,0%,0%,0%,"Up to Z1 Workspaces and Z1 Users"
"DevOps Tool Hosting on Forge",Small,"Any of the DevOPs tools (JFROG, GITLAB, CB, CODER) on Forge ","January",Live,50000,0%,25%,25%,25%,25%,""
"DevOps Tool Hosting on Forge",Medium,"Any of the DevOPs tools (JFROG, GITLAB, CB, CODER) on Forge ","January",Live,75000,0%,25%,25%,25%,25%,""
"DevOps Tool Hosting on Forge",Large,"Any of the DevOPs tools (JFROG, GITLAB, CB, CODER) on Forge ","January",Live,100000,0%,25%,25%,25%,25%,""
"DevOps PS engagement (25 hours -S, 50 hours - M, 100 hours- L )",Small,"","January",Live,6500,0%,100%,0%,0%,0%,""
"DevOps PS engagement (25 hours -S, 50 hours - M, 100 hours- L )",Medium,"","January",Live,20000,0%,100%,0%,0%,0%,""
"DevOps PS engagement (25 hours -S, 50 hours - M, 100 hours- L )",Large,"","January",Live,50000,0%,100%,0%,0%,0%,""
"AMS on Forge",Small,"","January",Live,170000,0%,50%,0%,0%,50%,""
"AMS on Forge",Medium,"","January",Live,250000,0%,50%,0%,0%,50%,""
"AMS on Forge",Large,"","January",Live,10000,0%,25%,25%,25%,25%,""
